source,subsource,subsubsource,year,lcoe,cost_kw
Onshore,Land-Based Wind,,2010,0.058,2092
Onshore,Land-Based Wind,Utility,2014,0.053,1729
Onshore,Land-Based Wind,Utility,2013,0.054,1758
Onshore,Land-Based Wind,,2008,0.038,1150.09
Onshore,Land-Based Wind,,2007,0.039,1155.73
Onshore,Land-Based Wind,,2006,0.039,1161.36
Onshore,Land-Based Wind,,2005,0.04,1167
Onshore,Land-Based Wind,,2008,0.057,1570.49
Onshore,Land-Based Wind,,2008,0.051,1570.49
Onshore,Land-Based Wind,,2008,0.047,1570.49
Onshore,Land-Based Wind,,2008,0.044,1570.49
Onshore,Land-Based Wind,,2008,0.041,1570.49
Onshore,Land-Based Wind,,2007,0.058,1570.49
Onshore,Land-Based Wind,,2007,0.052,1570.49
Onshore,Land-Based Wind,,2007,0.048,1570.49
Onshore,Land-Based Wind,,2007,0.045,1570.49
Onshore,Land-Based Wind,,2007,0.042,1570.49
Onshore,Land-Based Wind,,2006,0.059,1570.49
Onshore,Land-Based Wind,,2006,0.054,1570.49
Onshore,Land-Based Wind,,2006,0.049,1570.49
Onshore,Land-Based Wind,,2006,0.045,1570.49
Onshore,Land-Based Wind,,2006,0.043,1570.49
Onshore,Land-Based Wind,,2000,0.1,1570.49
Onshore,Land-Based Wind,,2000,0.1,1570.49
Onshore,Land-Based Wind,,2000,0.1,1570.49
Onshore,Land-Based Wind,,2000,0.1,1570.49
Onshore,Land-Based Wind,,2000,0.1,1570.49
Onshore,Land-Based Wind,,2001,0.088,1570.49
Onshore,Land-Based Wind,,2001,0.085,1570.49
Onshore,Land-Based Wind,,2001,0.082,1570.49
Onshore,Land-Based Wind,,2001,0.08,1570.49
Onshore,Land-Based Wind,,2002,0.079,1570.49
Onshore,Land-Based Wind,,2001,0.078,1570.49
Onshore,Land-Based Wind,,2002,0.074,1570.49
Onshore,Land-Based Wind,,2003,0.072,1570.49
Onshore,Land-Based Wind,,2002,0.07,1570.49
Onshore,Land-Based Wind,,2002,0.067,1570.49
Onshore,Land-Based Wind,,2003,0.066,1570.49
Onshore,Land-Based Wind,,2004,0.066,1570.49
Onshore,Land-Based Wind,,2002,0.064,1570.49
Onshore,Land-Based Wind,,2003,0.062,1570.49
