year,source,energy
2002-01-01,biomass,2705
2002-01-01,coal,22732
2002-01-01,crude oil,12160
2002-01-01,geothermal,171
2002-01-01,hydro,2689
2002-01-01,natural gas,21941
2002-01-01,nuclear,8145
2002-01-01,solar,60
2002-01-01,wind,105
2003-01-01,biomass,2805
2003-01-01,coal,22094
2003-01-01,crude oil,11960
2003-01-01,geothermal,173
2003-01-01,hydro,2793
2003-01-01,natural gas,21980
2003-01-01,nuclear,7960
2003-01-01,solar,58
2003-01-01,wind,113
2004-01-01,biomass,2996
2004-01-01,coal,22852
2004-01-01,crude oil,11550
2004-01-01,geothermal,178
2004-01-01,hydro,2688
2004-01-01,natural gas,21540
2004-01-01,nuclear,8223
2004-01-01,solar,58
2004-01-01,wind,142
2005-01-01,biomass,3101
2005-01-01,coal,23185
2005-01-01,crude oil,10974
2005-01-01,geothermal,181
2005-01-01,hydro,2703
2005-01-01,natural gas,20890
2005-01-01,nuclear,8161
2005-01-01,solar,58
2005-01-01,wind,178
2006-01-01,biomass,3212
2006-01-01,coal,23790
2006-01-01,crude oil,10767
2006-01-01,geothermal,181
2006-01-01,hydro,2869
2006-01-01,natural gas,21378
2006-01-01,nuclear,8215
2006-01-01,solar,61
2006-01-01,wind,264
2007-01-01,biomass,3472
2007-01-01,coal,23493
2007-01-01,crude oil,10741
2007-01-01,geothermal,186
2007-01-01,hydro,2446
2007-01-01,natural gas,22195
2007-01-01,nuclear,8459
2007-01-01,solar,65
2007-01-01,wind,341
2008-01-01,biomass,3868
2008-01-01,coal,23851
2008-01-01,crude oil,10613
2008-01-01,geothermal,192
2008-01-01,hydro,2511
2008-01-01,natural gas,23122
2008-01-01,nuclear,8426
2008-01-01,solar,74
2008-01-01,wind,546
2009-01-01,biomass,3957
2009-01-01,coal,21624
2009-01-01,crude oil,11324
2009-01-01,geothermal,200
2009-01-01,hydro,2669
2009-01-01,natural gas,23713
2009-01-01,nuclear,8355
2009-01-01,solar,78
2009-01-01,wind,721
2010-01-01,biomass,4553
2010-01-01,coal,22038
2010-01-01,crude oil,11596
2010-01-01,geothermal,208
2010-01-01,hydro,2539
2010-01-01,natural gas,24587
2010-01-01,nuclear,8434
2010-01-01,solar,90
2010-01-01,wind,923
2011-01-01,biomass,4704
2011-01-01,coal,22221
2011-01-01,crude oil,11970
2011-01-01,geothermal,212
2011-01-01,hydro,3103
2011-01-01,natural gas,26376
2011-01-01,nuclear,8269
2011-01-01,solar,111
2011-01-01,wind,1168
2012-01-01,biomass,4547
2012-01-01,coal,20677
2012-01-01,crude oil,13801
2012-01-01,geothermal,212
2012-01-01,hydro,2629
2012-01-01,natural gas,27856
2012-01-01,nuclear,8062
2012-01-01,solar,157
2012-01-01,wind,1340
2013-01-01,biomass,4816
2013-01-01,coal,20001
2013-01-01,crude oil,15807
2013-01-01,geothermal,214
2013-01-01,hydro,2562
2013-01-01,natural gas,28391
2013-01-01,nuclear,8244
2013-01-01,solar,225
2013-01-01,wind,1601
2014-01-01,biomass,5020
2014-01-01,coal,20286
2014-01-01,crude oil,18542
2014-01-01,geothermal,214
2014-01-01,hydro,2467
2014-01-01,natural gas,30814
2014-01-01,nuclear,8338
2014-01-01,solar,337
2014-01-01,wind,1728
2015-01-01,biomass,4992
2015-01-01,coal,17946
2015-01-01,crude oil,19679
2015-01-01,geothermal,212
2015-01-01,hydro,2321
2015-01-01,natural gas,32634
2015-01-01,nuclear,8337
2015-01-01,solar,426
2015-01-01,wind,1777
2016-01-01,biomass,5081
2016-01-01,coal,14667
2016-01-01,crude oil,18494
2016-01-01,geothermal,210
2016-01-01,hydro,2472
2016-01-01,natural gas,32346
2016-01-01,nuclear,8427
2016-01-01,solar,569
2016-01-01,wind,2096
2017-01-01,biomass,5204
2017-01-01,coal,15625
2017-01-01,crude oil,19535
2017-01-01,geothermal,210
2017-01-01,hydro,2767
2017-01-01,natural gas,33381
2017-01-01,nuclear,8419
2017-01-01,solar,774
2017-01-01,wind,2343
