year,source,share
2001-01-01,biomass,0.037
2001-01-01,coal,0.328
2001-01-01,crude oil,0.171
2001-01-01,geothermal,0.002
2001-01-01,hydro,0.031
2001-01-01,natural gas,0.317
2001-01-01,nuclear,0.112
2001-01-01,solar,0.001
2001-01-01,wind,0.001
2002-01-01,biomass,0.038
2002-01-01,coal,0.321
2002-01-01,crude oil,0.172
2002-01-01,geothermal,0.002
2002-01-01,hydro,0.038
2002-01-01,natural gas,0.310
2002-01-01,nuclear,0.115
2002-01-01,solar,0.001
2002-01-01,wind,0.001
2003-01-01,biomass,0.040
2003-01-01,coal,0.316
2003-01-01,crude oil,0.171
2003-01-01,geothermal,0.002
2003-01-01,hydro,0.040
2003-01-01,natural gas,0.314
2003-01-01,nuclear,0.114
2003-01-01,solar,0.001
2003-01-01,wind,0.002
2004-01-01,biomass,0.043
2004-01-01,coal,0.325
2004-01-01,crude oil,0.164
2004-01-01,geothermal,0.003
2004-01-01,hydro,0.038
2004-01-01,natural gas,0.307
2004-01-01,nuclear,0.117
2004-01-01,solar,0.001
2004-01-01,wind,0.002
2005-01-01,biomass,0.045
2005-01-01,coal,0.334
2005-01-01,crude oil,0.158
2005-01-01,geothermal,0.003
2005-01-01,hydro,0.039
2005-01-01,natural gas,0.301
2005-01-01,nuclear,0.118
2005-01-01,solar,0.001
2005-01-01,wind,0.003
2006-01-01,biomass,0.045
2006-01-01,coal,0.336
2006-01-01,crude oil,0.152
2006-01-01,geothermal,0.003
2006-01-01,hydro,0.041
2006-01-01,natural gas,0.302
2006-01-01,nuclear,0.116
2006-01-01,solar,0.001
2006-01-01,wind,0.004
2007-01-01,biomass,0.049
2007-01-01,coal,0.329
2007-01-01,crude oil,0.150
2007-01-01,geothermal,0.003
2007-01-01,hydro,0.034
2007-01-01,natural gas,0.311
2007-01-01,nuclear,0.118
2007-01-01,solar,0.001
2007-01-01,wind,0.005
2008-01-01,biomass,0.053
2008-01-01,coal,0.326
2008-01-01,crude oil,0.145
2008-01-01,geothermal,0.003
2008-01-01,hydro,0.034
2008-01-01,natural gas,0.316
2008-01-01,nuclear,0.115
2008-01-01,solar,0.001
2008-01-01,wind,0.007
2009-01-01,biomass,0.054
2009-01-01,coal,0.298
2009-01-01,crude oil,0.156
2009-01-01,geothermal,0.003
2009-01-01,hydro,0.037
2009-01-01,natural gas,0.326
2009-01-01,nuclear,0.115
2009-01-01,solar,0.001
2009-01-01,wind,0.010
2010-01-01,biomass,0.061
2010-01-01,coal,0.294
2010-01-01,crude oil,0.155
2010-01-01,geothermal,0.003
2010-01-01,hydro,0.034
2010-01-01,natural gas,0.328
2010-01-01,nuclear,0.113
2010-01-01,solar,0.001
2010-01-01,wind,0.012
2011-01-01,biomass,0.060
2011-01-01,coal,0.284
2011-01-01,crude oil,0.153
2011-01-01,geothermal,0.003
2011-01-01,hydro,0.040
2011-01-01,natural gas,0.338
2011-01-01,nuclear,0.106
2011-01-01,solar,0.001
2011-01-01,wind,0.015
2012-01-01,biomass,0.057
2012-01-01,coal,0.261
2012-01-01,crude oil,0.174
2012-01-01,geothermal,0.003
2012-01-01,hydro,0.033
2012-01-01,natural gas,0.351
2012-01-01,nuclear,0.102
2012-01-01,solar,0.002
2012-01-01,wind,0.017
2013-01-01,biomass,0.059
2013-01-01,coal,0.244
2013-01-01,crude oil,0.193
2013-01-01,geothermal,0.003
2013-01-01,hydro,0.031
2013-01-01,natural gas,0.347
2013-01-01,nuclear,0.101
2013-01-01,solar,0.003
2013-01-01,wind,0.020
2014-01-01,biomass,0.057
2014-01-01,coal,0.231
2014-01-01,crude oil,0.211
2014-01-01,geothermal,0.002
2014-01-01,hydro,0.028
2014-01-01,natural gas,0.351
2014-01-01,nuclear,0.095
2014-01-01,solar,0.004
2014-01-01,wind,0.020
2015-01-01,biomass,0.057
2015-01-01,coal,0.203
2015-01-01,crude oil,0.223
2015-01-01,geothermal,0.002
2015-01-01,hydro,0.026
2015-01-01,natural gas,0.369
2015-01-01,nuclear,0.094
2015-01-01,solar,0.005
2015-01-01,wind,0.020
2016-01-01,biomass,0.060
2016-01-01,coal,0.174
2016-01-01,crude oil,0.219
2016-01-01,geothermal,0.002
2016-01-01,hydro,0.029
2016-01-01,natural gas,0.383
2016-01-01,nuclear,0.100
2016-01-01,solar,0.007
2016-01-01,wind,0.025
2017-01-01,biomass,0.059
2017-01-01,coal,0.177
2017-01-01,crude oil,0.221
2017-01-01,geothermal,0.002
2017-01-01,hydro,0.031
2017-01-01,natural gas,0.378
2017-01-01,nuclear,0.095
2017-01-01,solar,0.009
2017-01-01,wind,0.027
2018-01-01,biomass,0.056
2018-01-01,coal,0.159
2018-01-01,crude oil,0.239
2018-01-01,geothermal,0.002
2018-01-01,hydro,0.028
2018-01-01,natural gas,0.391
2018-01-01,nuclear,0.088
2018-01-01,solar,0.010
2018-01-01,wind,0.027
