source,year,share
coal,2002-01-01,74.953
coal,2003-01-01,75.395
coal,2004-01-01,73.945
coal,2005-01-01,75.183
coal,2006-01-01,73.108
coal,2007-01-01,72.324
coal,2008-01-01,72.921
coal,2009-01-01,69.076
coal,2010-01-01,67.827
coal,2011-01-01,69.788
coal,2012-01-01,62.989
coal,2013-01-01,61.411
coal,2014-01-01,57.819
coal,2015-01-01,54.019
coal,2016-01-01,48.521
coal,2017-01-01,38.072
crude oil,2002-01-01,1.079
crude oil,2003-01-01,2.070
crude oil,2004-01-01,1.825
crude oil,2005-01-01,2.151
crude oil,2006-01-01,0.112
crude oil,2007-01-01,0.413
crude oil,2008-01-01,0.279
crude oil,2009-01-01,0.259
crude oil,2010-01-01,0.215
crude oil,2011-01-01,0.125
crude oil,2012-01-01,0.077
crude oil,2013-01-01,0.105
crude oil,2014-01-01,0.090
crude oil,2015-01-01,0.107
crude oil,2016-01-01,0.060
crude oil,2017-01-01,0.107
hydro,2002-01-01,0.027
hydro,2003-01-01,0.027
hydro,2004-01-01,0.027
hydro,2005-01-01,0.025
hydro,2006-01-01,0.021
hydro,2007-01-01,0.021
hydro,2008-01-01,0.023
hydro,2009-01-01,0.027
hydro,2010-01-01,0.028
hydro,2011-01-01,0.033
hydro,2012-01-01,0.023
hydro,2013-01-01,0.030
hydro,2014-01-01,0.033
hydro,2015-01-01,0.042
hydro,2016-01-01,0.064
hydro,2017-01-01,0.057
natural gas,2002-01-01,3.791
natural gas,2003-01-01,2.632
natural gas,2004-01-01,1.778
natural gas,2005-01-01,2.480
natural gas,2006-01-01,4.041
natural gas,2007-01-01,4.255
natural gas,2008-01-01,4.782
natural gas,2009-01-01,5.718
natural gas,2010-01-01,4.773
natural gas,2011-01-01,5.589
natural gas,2012-01-01,6.437
natural gas,2013-01-01,4.085
natural gas,2014-01-01,2.921
natural gas,2015-01-01,2.578
natural gas,2016-01-01,4.259
natural gas,2017-01-01,4.215
nuclear,2002-01-01,19.161
nuclear,2003-01-01,19.090
nuclear,2004-01-01,21.659
nuclear,2005-01-01,19.233
nuclear,2006-01-01,20.539
nuclear,2007-01-01,20.688
nuclear,2008-01-01,18.222
nuclear,2009-01-01,18.785
nuclear,2010-01-01,19.939
nuclear,2011-01-01,16.135
nuclear,2012-01-01,18.649
nuclear,2013-01-01,14.788
nuclear,2014-01-01,17.210
nuclear,2015-01-01,18.956
nuclear,2016-01-01,17.324
nuclear,2017-01-01,20.908
wind,2002-01-01,0.989
wind,2003-01-01,0.786
wind,2004-01-01,0.767
wind,2005-01-01,0.928
wind,2006-01-01,2.179
wind,2007-01-01,2.299
wind,2008-01-01,3.773
wind,2009-01-01,6.134
wind,2010-01-01,7.105
wind,2011-01-01,8.201
wind,2012-01-01,11.695
wind,2013-01-01,19.461
wind,2014-01-01,21.808
wind,2015-01-01,24.158
wind,2016-01-01,29.645
wind,2017-01-01,36.518
biomass,2002-01-01,0.000
biomass,2003-01-01,0.000
biomass,2004-01-01,0.000
biomass,2005-01-01,0.000
biomass,2006-01-01,0.000
biomass,2007-01-01,0.000
biomass,2008-01-01,0.000
biomass,2009-01-01,0.000
biomass,2010-01-01,0.113
biomass,2011-01-01,0.130
biomass,2012-01-01,0.129
biomass,2013-01-01,0.120
biomass,2014-01-01,0.119
biomass,2015-01-01,0.136
biomass,2016-01-01,0.124
biomass,2017-01-01,0.112
solar,2002-01-01,0.000
solar,2003-01-01,0.000
solar,2004-01-01,0.000
solar,2005-01-01,0.000
solar,2006-01-01,0.000
solar,2007-01-01,0.000
solar,2008-01-01,0.000
solar,2009-01-01,0.000
solar,2010-01-01,0.000
solar,2011-01-01,0.000
solar,2012-01-01,0.000
solar,2013-01-01,0.000
solar,2014-01-01,0.000
solar,2015-01-01,0.004
solar,2016-01-01,0.004
solar,2017-01-01,0.010
